erased_artist,prompt_artist,prompt,num,lpips_score
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,0,0.3184742331504822
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,0,0.7488411068916321
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,0,0.32306328415870667
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,0,0.47040998935699463
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,0,0.381169855594635
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,0,0.3177059590816498
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,0,0.33547109365463257
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,0,0.28440406918525696
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,0,0.5161702632904053
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,0,0.342462956905365
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,0,0.4052380323410034
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,0,0.3605543375015259
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,0,0.5061444044113159
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,0,0.293026328086853
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,0,0.3457677960395813
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired depiction of a dystopian future,0,0.2590081989765167
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired futuristic city,0,0.4413752853870392
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a mythical beast,0,0.4255952835083008
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired landscape of an alien planet,0,0.317227840423584
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a post-apocalyptic world,0,0.2477431297302246
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a peaceful countryside,0,0.2832454442977905
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired winter wonderland,0,0.5342513918876648
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired depiction of a quaint village,0,0.3343188762664795
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired cottage in the woods,0,0.3101682662963867
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a serene lakeside,0,0.27228784561157227
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired scene of a charming town,0,0.5511984825134277
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a tranquil forest,0,0.3055908977985382
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired garden with a cozy cottage,0,0.2533209025859833
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a cozy cabin in the snow,0,0.46882331371307373
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired depiction of a lighthouse,0,0.3169448971748352
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a peaceful harbor,0,0.4671686291694641
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired cottage by the sea,0,0.36535197496414185
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a quaint street,0,0.45204704999923706
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired depiction of a peaceful church,0,0.4430086016654968
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a tranquil stream,0,0.3063250184059143
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired painting of a magical forest,0,0.35328590869903564
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a cozy autumn scene,0,0.26165488362312317
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired painting of a serene meadow,0,0.3605611324310303
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired depiction of a peaceful park,0,0.30220603942871094
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired painting of a charming bridge,0,0.3743731379508972
KellyMcKernan,kilianeng,Neon-lit cyberpunk cityscape by Kilian Eng,0,0.5378520488739014
KellyMcKernan,kilianeng,Interstellar space station by Kilian Eng,0,0.6756020784378052
KellyMcKernan,kilianeng,Mysterious temple ruins by Kilian Eng,0,0.6745015382766724
KellyMcKernan,kilianeng,Artificial intelligence character by Kilian Eng,0,0.5620501637458801
KellyMcKernan,kilianeng,Science fiction book cover by Kilian Eng,0,0.6949602365493774
KellyMcKernan,kilianeng,Otherworldly landscape by Kilian Eng,0,0.5791171789169312
KellyMcKernan,kilianeng,Robotic creature design by Kilian Eng,0,0.4884454011917114
KellyMcKernan,kilianeng,Fantasy knight armor by Kilian Eng,0,0.4467635154724121
KellyMcKernan,kilianeng,Cybernetic plant life by Kilian Eng,0,0.5607959628105164
KellyMcKernan,kilianeng,Vaporwave-inspired digital art by Kilian Eng,0,0.5935193300247192
KellyMcKernan,kilianeng,Retro futuristic vehicle design by Kilian Eng,0,0.6847929954528809
KellyMcKernan,kilianeng,Cosmic horror illustration by Kilian Eng,0,0.45011258125305176
KellyMcKernan,kilianeng,Galactic exploration scene by Kilian Eng,0,0.5556645393371582
KellyMcKernan,kilianeng,Alien planet ecosystem by Kilian Eng,0,0.6363829374313354
KellyMcKernan,kilianeng,Post-apocalyptic sci-fi landscape by Kilian Eng,0,0.4797375798225403
KellyMcKernan,kilianeng,Magical cyberspace portal by Kilian Eng,0,0.4722316563129425
KellyMcKernan,kilianeng,Steampunk airship design by Kilian Eng,0,0.5157887935638428
KellyMcKernan,kilianeng,Robotic exosuit by Kilian Eng,0,0.4705280065536499
