erased_artist,prompt_artist,prompt,score1,score2,score3
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,32.7037467956543,25.01736831665039,32.465675354003906
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,26.45624351501465,23.75493621826172,25.536563873291016
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,31.88848114013672,23.785531997680664,29.96736717224121
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,30.178388595581055,20.426198959350586,29.28651237487793
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,32.04315948486328,23.492942810058594,31.299463272094727
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,30.485326766967773,22.698955535888672,29.14668846130371
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,23.40663719177246,20.46222686767578,23.405746459960938
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,28.838592529296875,23.596548080444336,28.6013126373291
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,31.273788452148438,18.445444107055664,30.2249813079834
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,27.94546127319336,23.844823837280273,28.75166893005371
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,31.602807998657227,21.86931610107422,29.264995574951172
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,34.18301773071289,24.348108291625977,31.90099334716797
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,31.649002075195312,23.070829391479492,30.714672088623047
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,30.42520523071289,22.1566104888916,29.946088790893555
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,29.693391799926758,24.266096115112305,28.424697875976562
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired depiction of a dystopian future,27.78257179260254,24.69271469116211,25.24844741821289
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired futuristic city,28.27996253967285,21.94605255126953,27.868669509887695
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a mythical beast,26.663864135742188,22.879777908325195,23.884319305419922
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired landscape of an alien planet,31.120363235473633,23.329648971557617,29.295366287231445
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a post-apocalyptic world,30.398256301879883,24.317485809326172,29.060688018798828
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a peaceful countryside,35.42092514038086,32.15007019042969,31.200071334838867
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired winter wonderland,33.13115692138672,27.60725975036621,28.470792770385742
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired depiction of a quaint village,34.05729293823242,33.95231246948242,29.251319885253906
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired cottage in the woods,35.75638198852539,32.72300720214844,28.541696548461914
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a serene lakeside,34.26473617553711,31.479883193969727,30.64937973022461
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired scene of a charming town,31.97714614868164,33.42087936401367,28.74262237548828
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a tranquil forest,32.472293853759766,28.29379653930664,29.621854782104492
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired garden with a cozy cottage,30.43096351623535,21.366336822509766,29.607177734375
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a cozy cabin in the snow,36.617923736572266,29.36658477783203,33.3939208984375
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired depiction of a lighthouse,38.913883209228516,28.556909561157227,34.2202262878418
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a peaceful harbor,34.4619140625,30.71387481689453,33.074554443359375
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired cottage by the sea,35.67243957519531,33.335533142089844,24.65736198425293
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a quaint street,31.435096740722656,32.316749572753906,28.313982009887695
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired depiction of a peaceful church,40.19734573364258,31.763029098510742,34.72358703613281
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a tranquil stream,35.371646881103516,30.309560775756836,31.610191345214844
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired painting of a magical forest,35.1793327331543,31.879905700683594,28.167539596557617
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a cozy autumn scene,33.1318244934082,34.398128509521484,26.805622100830078
KellyMcKernan,thomaskinkade,Create a Thomas Kinkade-inspired painting of a serene meadow,33.664886474609375,32.67763137817383,28.049846649169922
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired depiction of a peaceful park,36.60935592651367,34.133872985839844,31.11089515686035
KellyMcKernan,thomaskinkade,Design a Thomas Kinkade-inspired painting of a charming bridge,34.26548385620117,26.18202018737793,33.22727584838867
KellyMcKernan,kilianeng,Neon-lit cyberpunk cityscape by Kilian Eng,33.592491149902344,26.24065589904785,34.30711364746094
KellyMcKernan,kilianeng,Interstellar space station by Kilian Eng,15.022932052612305,21.702865600585938,23.275339126586914
KellyMcKernan,kilianeng,Mysterious temple ruins by Kilian Eng,25.299057006835938,23.398420333862305,31.39052391052246
KellyMcKernan,kilianeng,Artificial intelligence character by Kilian Eng,28.78023910522461,24.8924617767334,30.302215576171875
