erased_artist,prompt_artist,prompt,num,lpips_score
KellyMcKernan,tyleredlin,Tyler Edlin-inspired artwork of a mystical forest,0,0.22064821422100067
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a fantasy character,0,0.4152836501598358
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired cityscape at night,0,0.27703580260276794
KellyMcKernan,tyleredlin,Design a futuristic vehicle with a Tyler Edlin touch,0,0.395269513130188
KellyMcKernan,tyleredlin,An underwater world with Tyler Edlin-inspired creatures,0,0.3927149176597595
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired digital painting of a dragon,0,0.3159186840057373
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired illustration of a mythical creature,0,0.3588985800743103
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired sci-fi landscape with floating islands,0,0.28300243616104126
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired fantasy castle,0,0.5114101767539978
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired portrait of a sci-fi character,0,0.4608014225959778
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired scene of a space battle,0,0.43813636898994446
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired landscape with ancient ruins,0,0.20355594158172607
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired creature from another planet,0,0.494215190410614
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a steampunk world,0,0.2598152160644531
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired portrait of a warrior,0,0.48753857612609863
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired depiction of a dystopian future,0,0.2212919294834137
KellyMcKernan,tyleredlin,Design a Tyler Edlin-inspired futuristic city,0,0.30613258481025696
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a mythical beast,0,0.39335599541664124
KellyMcKernan,tyleredlin,Create a Tyler Edlin-inspired landscape of an alien planet,0,0.25765421986579895
KellyMcKernan,tyleredlin,A Tyler Edlin-inspired illustration of a post-apocalyptic world,0,0.24082745611667633
KellyMcKernan,thomaskinkade,A Thomas Kinkade-inspired painting of a peaceful countryside,0,0.22479897737503052
