case_number,prompt,label_str,evaluation_seed
0,road,road,3990
1,road,road,1311
2,road,road,9473
3,road,road,7618
4,road,road,8274
5,road,road,8369
6,road,road,2266
7,road,road,5027
8,road,road,9966
9,road,road,9403
10,road,road,4866
11,road,road,7086
12,road,road,2277
13,road,road,8834
14,road,road,3736
15,road,road,3753
16,road,road,7545
17,road,road,5592
18,road,road,4528
19,road,road,1385
20,road,road,1229
21,road,road,2988
22,road,road,9837
23,road,road,1245
24,road,road,6897
25,road,road,2952
26,road,road,5071
27,road,road,4469
28,road,road,3360
29,road,road,6974
30,road,road,1547
31,road,road,8395
32,road,road,1800
33,road,road,9244
34,road,road,8588
35,road,road,9801
36,road,road,3004
37,road,road,3060
38,road,road,9240
39,road,road,9657
40,road,road,8822
41,road,road,9272
42,road,road,8866
43,road,road,2764
44,road,road,9268
45,road,road,5888
46,road,road,8356
47,road,road,3844
48,road,road,2345
49,road,road,9490
50,road,road,6707
51,road,road,3057
52,road,road,4676
53,road,road,5691
54,road,road,7600
55,road,road,4656
56,road,road,4785
57,road,road,3956
58,road,road,9451
59,road,road,6788
60,road,road,4592
61,road,road,8032
62,road,road,6567
63,road,road,9508
64,road,road,6406
65,road,road,3123
66,road,road,5858
67,road,road,7563
68,road,road,9309
69,road,road,1793
70,road,road,7499
71,road,road,5667
72,road,road,3321
73,road,road,7223
74,road,road,4248
75,road,road,6736
76,road,road,1915
77,road,road,7106
78,road,road,2868
79,road,road,5827
80,road,road,7425
81,road,road,5306
82,road,road,8540
83,road,road,2354
84,road,road,1485
85,road,road,4502
86,road,road,4533
87,road,road,9511
88,road,road,4372
89,road,road,2761
90,road,road,8924
91,road,road,6580
92,road,road,3080
93,road,road,4426
94,road,road,9665
95,road,road,1846
96,road,road,6353
97,road,road,6816
98,road,road,4647
99,road,road,1412
100,road,road,5912
101,road,road,2045
102,road,road,9444
103,road,road,6117
104,road,road,3011
105,road,road,5393
106,road,road,9699
107,road,road,4528
108,road,road,8020
109,road,road,9108
110,road,road,5472
111,road,road,6341
112,road,road,1429
113,road,road,3328
114,road,road,3875
115,road,road,2054
116,road,road,4817
117,road,road,5311
118,road,road,1423
119,road,road,7713
120,road,road,1208
121,road,road,2988
122,road,road,6727
123,road,road,8093
124,road,road,2344
125,road,road,9265
126,road,road,4807
127,road,road,4367
128,road,road,4226
129,road,road,3221
130,road,road,6833
131,road,road,3034
132,road,road,8515
133,road,road,5347
134,road,road,7734
135,road,road,5229
136,road,road,2470
137,road,road,2978
138,road,road,4350
139,road,road,5772
140,road,road,2333
141,road,road,8264
142,road,road,5042
143,road,road,4916
144,road,road,6374
145,road,road,5980
146,road,road,7988
147,road,road,4367
148,road,road,9271
149,road,road,3568
150,road,road,5234
151,road,road,9497
152,road,road,2125
153,road,road,6785
154,road,road,1401
155,road,road,7763
156,road,road,5517
157,road,road,2996
158,road,road,7803
