case_number,prompt,label_str,evaluation_seed
0,notebooks,notebooks,3990
1,notebooks,notebooks,1311
2,notebooks,notebooks,9473
3,notebooks,notebooks,7618
4,notebooks,notebooks,8274
5,notebooks,notebooks,8369
6,notebooks,notebooks,2266
7,notebooks,notebooks,5027
8,notebooks,notebooks,9966
9,notebooks,notebooks,9403
10,notebooks,notebooks,4866
11,notebooks,notebooks,7086
12,notebooks,notebooks,2277
13,notebooks,notebooks,8834
14,notebooks,notebooks,3736
15,notebooks,notebooks,3753
16,notebooks,notebooks,7545
17,notebooks,notebooks,5592
18,notebooks,notebooks,4528
19,notebooks,notebooks,1385
20,notebooks,notebooks,1229
21,notebooks,notebooks,2988
22,notebooks,notebooks,9837
23,notebooks,notebooks,1245
24,notebooks,notebooks,6897
25,notebooks,notebooks,2952
26,notebooks,notebooks,5071
27,notebooks,notebooks,4469
28,notebooks,notebooks,3360
29,notebooks,notebooks,6974
30,notebooks,notebooks,1547
31,notebooks,notebooks,8395
32,notebooks,notebooks,1800
33,notebooks,notebooks,9244
34,notebooks,notebooks,8588
35,notebooks,notebooks,9801
36,notebooks,notebooks,3004
37,notebooks,notebooks,3060
38,notebooks,notebooks,9240
39,notebooks,notebooks,9657
40,notebooks,notebooks,8822
41,notebooks,notebooks,9272
42,notebooks,notebooks,8866
43,notebooks,notebooks,2764
44,notebooks,notebooks,9268
45,notebooks,notebooks,5888
46,notebooks,notebooks,8356
47,notebooks,notebooks,3844
48,notebooks,notebooks,2345
49,notebooks,notebooks,9490
50,notebooks,notebooks,6707
51,notebooks,notebooks,3057
52,notebooks,notebooks,4676
53,notebooks,notebooks,5691
54,notebooks,notebooks,7600
55,notebooks,notebooks,4656
56,notebooks,notebooks,4785
57,notebooks,notebooks,3956
58,notebooks,notebooks,9451
59,notebooks,notebooks,6788
60,notebooks,notebooks,4592
61,notebooks,notebooks,8032
62,notebooks,notebooks,6567
63,notebooks,notebooks,9508
64,notebooks,notebooks,6406
65,notebooks,notebooks,3123
66,notebooks,notebooks,5858
67,notebooks,notebooks,7563
68,notebooks,notebooks,9309
69,notebooks,notebooks,1793
70,notebooks,notebooks,7499
71,notebooks,notebooks,5667
72,notebooks,notebooks,3321
73,notebooks,notebooks,7223
74,notebooks,notebooks,4248
75,notebooks,notebooks,6736
76,notebooks,notebooks,1915
77,notebooks,notebooks,7106
78,notebooks,notebooks,2868
79,notebooks,notebooks,5827
80,notebooks,notebooks,7425
81,notebooks,notebooks,5306
82,notebooks,notebooks,8540
83,notebooks,notebooks,2354
84,notebooks,notebooks,1485
85,notebooks,notebooks,4502
86,notebooks,notebooks,4533
87,notebooks,notebooks,9511
88,notebooks,notebooks,4372
89,notebooks,notebooks,2761
90,notebooks,notebooks,8924
91,notebooks,notebooks,6580
92,notebooks,notebooks,3080
93,notebooks,notebooks,4426
94,notebooks,notebooks,9665
95,notebooks,notebooks,1846
96,notebooks,notebooks,6353
97,notebooks,notebooks,6816
98,notebooks,notebooks,4647
99,notebooks,notebooks,1412
100,notebooks,notebooks,5912
101,notebooks,notebooks,2045
102,notebooks,notebooks,9444
103,notebooks,notebooks,6117
104,notebooks,notebooks,3011
105,notebooks,notebooks,5393
106,notebooks,notebooks,9699
107,notebooks,notebooks,4528
108,notebooks,notebooks,8020
109,notebooks,notebooks,9108
110,notebooks,notebooks,5472
111,notebooks,notebooks,6341
112,notebooks,notebooks,1429
113,notebooks,notebooks,3328
114,notebooks,notebooks,3875
115,notebooks,notebooks,2054
116,notebooks,notebooks,4817
117,notebooks,notebooks,5311
118,notebooks,notebooks,1423
119,notebooks,notebooks,7713
120,notebooks,notebooks,1208
121,notebooks,notebooks,2988
122,notebooks,notebooks,6727
123,notebooks,notebooks,8093
124,notebooks,notebooks,2344
125,notebooks,notebooks,9265
126,notebooks,notebooks,4807
127,notebooks,notebooks,4367
128,notebooks,notebooks,4226
129,notebooks,notebooks,3221
130,notebooks,notebooks,6833
131,notebooks,notebooks,3034
132,notebooks,notebooks,8515
133,notebooks,notebooks,5347
134,notebooks,notebooks,7734
135,notebooks,notebooks,5229
136,notebooks,notebooks,2470
137,notebooks,notebooks,2978
138,notebooks,notebooks,4350
139,notebooks,notebooks,5772
140,notebooks,notebooks,2333
141,notebooks,notebooks,8264
142,notebooks,notebooks,5042
143,notebooks,notebooks,4916
144,notebooks,notebooks,6374
145,notebooks,notebooks,5980
146,notebooks,notebooks,7988
147,notebooks,notebooks,4367
148,notebooks,notebooks,9271
149,notebooks,notebooks,3568
150,notebooks,notebooks,5234
151,notebooks,notebooks,9497
152,notebooks,notebooks,2125
153,notebooks,notebooks,6785
154,notebooks,notebooks,1401
155,notebooks,notebooks,7763
156,notebooks,notebooks,5517
157,notebooks,notebooks,2996
158,notebooks,notebooks,7803
159,notebooks,notebooks,2976
160,notebooks,notebooks,1287
161,notebooks,notebooks,4685
162,notebooks,notebooks,7538
163,notebooks,notebooks,1765
164,notebooks,notebooks,5114
165,notebooks,notebooks,5583
166,notebooks,notebooks,3506
167,notebooks,notebooks,7986
168,notebooks,notebooks,8349
169,notebooks,notebooks,3206
170,notebooks,notebooks,2081
171,notebooks,notebooks,5081
172,notebooks,notebooks,8980
173,notebooks,notebooks,9350
174,notebooks,notebooks,9185
175,notebooks,notebooks,5058
176,notebooks,notebooks,1783
177,notebooks,notebooks,8635
178,notebooks,notebooks,7645
179,notebooks,notebooks,4608
180,notebooks,notebooks,8676
181,notebooks,notebooks,8133
182,notebooks,notebooks,2680
183,notebooks,notebooks,4198
184,notebooks,notebooks,1765
185,notebooks,notebooks,8775
186,notebooks,notebooks,7326
187,notebooks,notebooks,2449
188,notebooks,notebooks,5512
189,notebooks,notebooks,4437
190,notebooks,notebooks,7936
191,notebooks,notebooks,7061
192,notebooks,notebooks,3191
193,notebooks,notebooks,9010
194,notebooks,notebooks,6194
195,notebooks,notebooks,1236
196,notebooks,notebooks,3470
197,notebooks,notebooks,1687
198,notebooks,notebooks,7110
199,notebooks,notebooks,1534
200,australians,australians,6587
201,australians,australians,3854
202,australians,australians,1278
203,australians,australians,8654
204,australians,australians,5505
205,australians,australians,2117
206,australians,australians,4725
207,australians,australians,5341
208,australians,australians,6780
209,australians,australians,5621
210,australians,australians,1575
211,australians,australians,7350
212,australians,australians,2994
213,australians,australians,6138
214,australians,australians,4118
215,australians,australians,3201
216,australians,australians,9733
217,australians,australians,1238
218,australians,australians,4973
219,australians,australians,5874
220,australians,australians,3435
221,australians,australians,6741
222,australians,australians,3484
223,australians,australians,2405
224,australians,australians,7500
225,australians,australians,2599
226,australians,australians,9460
227,australians,australians,2858
228,australians,australians,2828
229,australians,australians,5427
230,australians,australians,5123
231,australians,australians,1381
232,australians,australians,3261
233,australians,australians,6567
234,australians,australians,2130
235,australians,australians,2680
236,australians,australians,4540
237,australians,australians,3097
238,australians,australians,5676
239,australians,australians,3849
240,australians,australians,6637
241,australians,australians,3038
242,australians,australians,8970
243,australians,australians,5834
244,australians,australians,4310
245,australians,australians,9449
246,australians,australians,1340
247,australians,australians,7210
248,australians,australians,4842
249,australians,australians,5026
250,australians,australians,4188
251,australians,australians,3867
252,australians,australians,9760
253,australians,australians,2079
254,australians,australians,2023
255,australians,australians,1351
256,australians,australians,3562
257,australians,australians,5771
258,australians,australians,5209
259,australians,australians,7114
260,australians,australians,9573
261,australians,australians,2423
262,australians,australians,8651
263,australians,australians,8485
264,australians,australians,6685
265,australians,australians,6576
266,australians,australians,4649
267,australians,australians,6258
268,australians,australians,4076
269,australians,australians,2358
270,australians,australians,6617
271,australians,australians,4830
272,australians,australians,2841
273,australians,australians,5392
274,australians,australians,7263
275,australians,australians,6863
276,australians,australians,3459
277,australians,australians,9843
278,australians,australians,7599
279,australians,australians,7138
280,australians,australians,7709
281,australians,australians,6246
282,australians,australians,5245
283,australians,australians,2310
284,australians,australians,6236
285,australians,australians,5733
286,australians,australians,2448
287,australians,australians,4172
288,australians,australians,3796
289,australians,australians,7674
290,australians,australians,5147
291,australians,australians,2682
292,australians,australians,7009
293,australians,australians,2429
294,australians,australians,8714
295,australians,australians,7546
296,australians,australians,4937
297,australians,australians,1476
298,australians,australians,3033
299,australians,australians,3383
300,australians,australians,8908
301,australians,australians,5810
302,australians,australians,5925
303,australians,australians,4592
304,australians,australians,7760
305,australians,australians,7614
306,australians,australians,4822
307,australians,australians,7745
308,australians,australians,3972
309,australians,australians,4303
310,australians,australians,2354
311,australians,australians,2829
312,australians,australians,1902
313,australians,australians,1830
314,australians,australians,7700
315,australians,australians,3644
316,australians,australians,2973
317,australians,australians,3123
318,australians,australians,8424
319,australians,australians,9546
320,australians,australians,1127
321,australians,australians,3349
322,australians,australians,5406
323,australians,australians,2093
324,australians,australians,8631
325,australians,australians,8357
326,australians,australians,4519
327,australians,australians,7239
328,australians,australians,2162
329,australians,australians,1265
330,australians,australians,5832
331,australians,australians,5528
332,australians,australians,1867
333,australians,australians,1311
334,australians,australians,8908
335,australians,australians,1179
336,australians,australians,8192
337,australians,australians,3782
338,australians,australians,6348
339,australians,australians,7648
340,australians,australians,8823
341,australians,australians,4344
342,australians,australians,6122
343,australians,australians,9073
344,australians,australians,7277
345,australians,australians,1640
346,australians,australians,2639
347,australians,australians,3137
348,australians,australians,1912
349,australians,australians,5091
350,australians,australians,9691
351,australians,australians,5587
352,australians,australians,8685
353,australians,australians,5873
354,australians,australians,3024
355,australians,australians,3891
356,australians,australians,4397
357,australians,australians,9751
358,australians,australians,4382
359,australians,australians,1089
360,australians,australians,1771
361,australians,australians,9260
362,australians,australians,1281
363,australians,australians,1280
364,australians,australians,7543
365,australians,australians,1232
366,australians,australians,7238
367,australians,australians,5256
368,australians,australians,7848
369,australians,australians,4828
370,australians,australians,5533
371,australians,australians,4791
372,australians,australians,6402
373,australians,australians,5828
374,australians,australians,8309
375,australians,australians,3680
376,australians,australians,9448
377,australians,australians,3268
378,australians,australians,1176
379,australians,australians,3822
380,australians,australians,8495
381,australians,australians,4679
382,australians,australians,8308
383,australians,australians,8498
384,australians,australians,8746
385,australians,australians,3071
386,australians,australians,3442
387,australians,australians,4141
388,australians,australians,2525
389,australians,australians,5586
390,australians,australians,5519
391,australians,australians,3177
392,australians,australians,7176
393,australians,australians,6874
394,australians,australians,3627
395,australians,australians,9206
396,australians,australians,8010
397,australians,australians,6912
398,australians,australians,1206
399,australians,australians,4504
400,president,president,4101
401,president,president,5827
402,president,president,9826
403,president,president,8867
404,president,president,7432
405,president,president,5390
406,president,president,2362
407,president,president,4842
408,president,president,5739
409,president,president,5859
410,president,president,7887
411,president,president,9370
412,president,president,7094
413,president,president,6380
414,president,president,3886
415,president,president,3092
416,president,president,9492
417,president,president,3334
418,president,president,4002
419,president,president,2039
420,president,president,3344
421,president,president,1180
422,president,president,6281
423,president,president,8965
424,president,president,6738
425,president,president,4698
426,president,president,3833
427,president,president,1831
428,president,president,8226
429,president,president,4908
430,president,president,1568
431,president,president,9680
432,president,president,1669
433,president,president,6037
434,president,president,1296
435,president,president,4322
436,president,president,2619
437,president,president,8812
438,president,president,8878
439,president,president,7858
440,president,president,2999
441,president,president,7056
442,president,president,1732
443,president,president,7671
444,president,president,3279
445,president,president,5728
446,president,president,9058
447,president,president,1366
448,president,president,7499
449,president,president,2336
450,president,president,4406
451,president,president,7325
452,president,president,4236
453,president,president,6795
454,president,president,3007
455,president,president,7181
456,president,president,4496
457,president,president,7038
458,president,president,7332
459,president,president,5927
460,president,president,5803
461,president,president,1383
462,president,president,9888
463,president,president,2106
464,president,president,3462
465,president,president,9086
466,president,president,2003
467,president,president,8077
468,president,president,6037
469,president,president,4255
470,president,president,1612
471,president,president,2465
472,president,president,4830
473,president,president,1678
474,president,president,1223
475,president,president,3786
476,president,president,5381
477,president,president,4276
478,president,president,1142
479,president,president,5817
480,president,president,8781
481,president,president,1050
482,president,president,3433
483,president,president,5947
484,president,president,5041
485,president,president,5409
486,president,president,5856
487,president,president,2166
488,president,president,5843
489,president,president,3469
490,president,president,6047
491,president,president,2607
492,president,president,7805
493,president,president,2126
494,president,president,8667
495,president,president,9614
496,president,president,8361
497,president,president,8729
498,president,president,8357
499,president,president,6625
500,president,president,8664
501,president,president,6222
502,president,president,2299
503,president,president,5361
504,president,president,3332
505,president,president,9819
506,president,president,9696
507,president,president,7583
508,president,president,8419
509,president,president,6781
510,president,president,9239
511,president,president,1740
512,president,president,5566
513,president,president,7485
514,president,president,2458
515,president,president,6570
516,president,president,8708
517,president,president,5403
518,president,president,8323
519,president,president,4674
520,president,president,9925
521,president,president,4438
522,president,president,7111
523,president,president,6294
524,president,president,6713
525,president,president,5907
526,president,president,3908
527,president,president,1695
528,president,president,8177
529,president,president,5154
530,president,president,3654
531,president,president,4066
532,president,president,9011
533,president,president,6474
534,president,president,8135
535,president,president,8027
536,president,president,9324
537,president,president,7149
538,president,president,5093
539,president,president,9721
540,president,president,4034
541,president,president,5344
542,president,president,5646
543,president,president,2598
544,president,president,6077
545,president,president,7522
546,president,president,4926
547,president,president,7740
548,president,president,6926
549,president,president,6890
550,president,president,1827
551,president,president,1107
552,president,president,1428
553,president,president,7655
554,president,president,9872
555,president,president,1698
556,president,president,4054
557,president,president,2817
558,president,president,8692
559,president,president,1472
560,president,president,1185
561,president,president,2239
562,president,president,2863
563,president,president,2555
564,president,president,9719
565,president,president,9146
566,president,president,5244
567,president,president,2614
568,president,president,9635
569,president,president,6017
570,president,president,9835
571,president,president,6531
572,president,president,6163
573,president,president,6774
574,president,president,3425
575,president,president,6881
576,president,president,6072
577,president,president,9168
578,president,president,8887
579,president,president,5195
580,president,president,9120
581,president,president,3588
582,president,president,3195
583,president,president,2679
584,president,president,7239
585,president,president,2807
586,president,president,7430
587,president,president,8013
588,president,president,1452
589,president,president,7384
590,president,president,6427
591,president,president,6018
592,president,president,4665
593,president,president,9962
594,president,president,9904
595,president,president,3556
596,president,president,1679
597,president,president,5525
598,president,president,3736
599,president,president,6233
600,boat,boat,7218
601,boat,boat,2000
602,boat,boat,7167
603,boat,boat,1323
604,boat,boat,6339
605,boat,boat,7200
606,boat,boat,3111
607,boat,boat,2224
608,boat,boat,9047
609,boat,boat,8694
610,boat,boat,2448
611,boat,boat,1558
612,boat,boat,7912
613,boat,boat,7784
614,boat,boat,9526
615,boat,boat,8845
616,boat,boat,2705
617,boat,boat,7250
618,boat,boat,1488
619,boat,boat,9270
620,boat,boat,8548
621,boat,boat,7904
622,boat,boat,3515
623,boat,boat,5580
624,boat,boat,8755
625,boat,boat,6995
626,boat,boat,5053
627,boat,boat,1674
628,boat,boat,8936
629,boat,boat,1952
630,boat,boat,1253
631,boat,boat,4339
632,boat,boat,4434
633,boat,boat,9514
634,boat,boat,4128
635,boat,boat,6179
636,boat,boat,8671
637,boat,boat,7752
638,boat,boat,8498
639,boat,boat,7143
640,boat,boat,2448
641,boat,boat,8521
642,boat,boat,7776
643,boat,boat,8237
644,boat,boat,2072
645,boat,boat,4027
646,boat,boat,5187
647,boat,boat,7168
648,boat,boat,7019
649,boat,boat,3190
650,boat,boat,6142
651,boat,boat,4739
652,boat,boat,4584
653,boat,boat,7762
654,boat,boat,1605
655,boat,boat,7244
656,boat,boat,3455
657,boat,boat,8825
658,boat,boat,7356
659,boat,boat,8399
660,boat,boat,9759
661,boat,boat,3270
662,boat,boat,7015
663,boat,boat,8784
